node,x,y
412,407499.8875,4257216.551
413,407091.7128,4257536.472
414,407091.7128,4257536.472
415,406937.2683,4257823.297
416,406937.2683,4257823.297
417,406694.5699,4258143.218
418,406694.5699,4258143.218
419,406595.2841,4258275.599
420,406595.2841,4258275.599
421,406683.5381,4258573.456
422,406683.5381,4258573.456
423,406562.1889,4258805.123
424,406562.1889,4258805.123
425,406396.7127,4259003.694
426,406396.7127,4259003.694
427,406385.6809,4259268.456
428,406385.6809,4259268.456
429,406242.2682,4259500.123
430,406242.2682,4259500.123
431,406319.4904,4259731.79
432,406319.4904,4259731.79
433,406363.6174,4260051.71
434,406363.6174,4260051.71
435,406264.3317,4260261.314
436,406264.3317,4260261.314
437,406297.4269,4260481.949
438,406297.4269,4260481.949
439,406374.6492,4260636.393
440,406374.6492,4260636.393
441,406639.4111,4261099.726
442,406639.4111,4261099.726
443,407036.5541,4261364.488
444,407036.5541,4261364.488
445,407378.5383,4261662.346
446,407378.5383,4261662.346
447,407841.8717,4261871.949
448,407841.8717,4261871.949
449,408106.6337,4262004.33
450,408106.6337,4262004.33
451,408305.2052,4262125.679
452,408316.2369,4262125.679
453,408250.0464,4262401.473
454,408250.0464,4262401.473
455,408272.1099,4262611.076
456,408272.1099,4262611.076
457,408062.5067,4263041.314
458,408062.5067,4263041.314
459,408007.3479,4263350.203
460,408007.3479,4263350.203
461,407974.2527,4263625.997
462,407974.2527,4263625.997
463,408084.5702,4263868.695
464,408084.5702,4263868.695
465,408415.5226,4263967.981
466,408426.5544,4263967.981
467,408514.8084,4264309.965
468,408514.8084,4264309.965
469,408580.9989,4264662.981
470,408580.9989,4264662.981
471,408702.3481,4264828.457
472,408702.3481,4264828.457
473,408691.3164,4265369.013
474,408691.3164,4265369.013
475,408503.7766,4265512.426
476,408503.7766,4265512.426
477,408338.3004,4265578.616
478,408338.3004,4265578.616
479,407919.094,4265556.553
480,407919.094,4265556.553
481,407775.6812,4265369.013
482,407764.6495,4265369.013
483,407544.0145,4265225.6
484,407544.0145,4265225.6
485,407411.6335,4265004.965
486,407411.6335,4265004.965
487,407290.2843,4264872.584
488,407290.2843,4264872.584
489,407091.7128,4264916.711
490,407091.7128,4264916.711
491,406937.2683,4265038.061
492,406937.2683,4265038.061
493,406606.3159,4265060.124
494,406606.3159,4265060.124
495,406440.8396,4265280.759
496,406440.8396,4265280.759
497,406198.1412,4265335.918
498,406198.1412,4265335.918
499,405712.7442,4265302.823
500,405712.7442,4265302.823
501,405635.522,4265567.585
502,405635.522,4265567.585
503,405679.649,4265865.442
504,405679.649,4265865.442
505,405845.1252,4266119.172
506,405845.1252,4266119.172
507,405745.8395,4266229.49
508,405745.8395,4266229.49
509,405933.3792,4266306.712
510,405933.3792,4266306.712
511,405845.1252,4266571.474
512,405845.1252,4266571.474
513,405911.3157,4266670.759
514,405911.3157,4266670.759
515,405679.649,4266803.14
516,405679.649,4266803.14
